GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "24998","Maryland (Metropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",109.677,111.544,109.224,110.256,108.196,109.270,108.553,108.715,108.025,107.586,107.013,105.807,107.190,106.811,105.488,105.246,105.547
 "24999","Maryland (Nonmetropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",93.462,91.124,93.119,92.589,92.697,93.327,94.794,92.282,91.299,90.402,92.332,91.672,90.192,92.081,92.963,91.739,93.238
 "25998","Massachusetts (Metropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",106.122,105.469,104.848,104.855,104.535,103.329,104.603,105.105,108.246,107.472,107.526,107.266,109.200,106.845,109.562,107.758,105.870
 "25999","Massachusetts (Nonmetropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",101.138,104.520,99.973,98.131,101.390,101.194,99.970,103.793,102.883,102.937,100.693,99.428,103.335,97.423,101.404,102.316,98.641
 "26998","Michigan (Metropolitan Portion)",3,PARPP,1,"...","RPPs: All items ","Index",98.501,98.020,97.604,96.567,96.321,96.739,97.006,95.124,95.047,94.149,95.664,96.590,95.933,95.317,94.746,95.813,97.605
 "26999","Michigan (Nonmetropolitan Portion)",3,PARPP,1,"...","RPPs: All items ","Index",83.017,86.409,88.961,88.110,88.019,86.999,87.441,86.344,86.059,84.985,88.308,88.634,86.280,88.602,87.522,86.357,88.972
 "27998","Minnesota (Metropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",101.198,102.829,100.421,100.552,99.919,100.444,101.714,101.025,100.444,100.127,102.598,101.219,100.510,101.186,100.567,101.635,102.110
 "27999","Minnesota (Nonmetropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",81.937,85.092,87.775,85.932,88.256,87.010,86.395,85.914,85.382,84.381,88.504,89.500,87.627,87.871,85.827,85.863,85.852
 "28998","Mississippi (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",92.878,90.496,92.912,92.994,93.002,92.623,92.864,92.170,92.707,92.053,88.498,89.133,88.806,89.121,90.418,90.021,89.977
 "28999","Mississippi (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",83.247,80.997,83.679,84.731,84.119,85.178,85.058,84.270,84.080,83.204,83.706,83.681,82.270,83.063,83.919,83.222,83.648
 "29998","Missouri (Metropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",91.372,92.970,95.382,94.949,94.321,94.833,95.557,94.573,94.037,94.531,93.420,94.155,94.071,93.938,93.046,93.141,92.621
 "29999","Missouri (Nonmetropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",78.174,81.776,85.179,84.003,85.512,85.513,85.541,84.015,82.929,81.368,85.611,86.355,84.733,84.422,83.041,83.313,83.914
 "30998","Montana (Metropolitan Portion)",7,PARPP,1,"...","RPPs: All items ","Index",94.796,94.664,93.675,95.796,95.270,94.558,95.990,95.827,94.754,96.207,93.695,95.293,92.777,92.764,91.835,93.938,97.057
 "30999","Montana (Nonmetropolitan Portion)",7,PARPP,1,"...","RPPs: All items ","Index",93.224,91.590,91.099,92.567,90.919,91.090,94.216,94.032,92.896,91.973,90.986,93.083,91.067,89.722,88.069,87.195,91.618
 "31998","Nebraska (Metropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",95.440,95.480,95.490,94.160,95.052,94.891,95.118,94.128,94.171,93.780,94.092,94.877,95.178,93.811,91.930,92.353,91.922
 "31999","Nebraska (Nonmetropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",80.242,82.682,86.346,86.670,87.589,86.575,85.921,85.840,84.694,82.605,87.447,87.984,88.096,88.124,85.328,85.827,86.324
 "32998","Nevada (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",101.521,103.802,101.279,102.806,102.201,100.277,99.642,98.937,97.609,100.210,96.547,99.240,97.820,95.662,96.746,98.161,100.350
 "32999","Nevada (Nonmetropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",97.461,93.736,95.287,95.904,94.983,94.983,94.160,94.687,92.103,95.430,92.284,93.918,89.187,91.494,91.065,93.869,94.819
 "33998","New Hampshire (Metropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",108.308,105.434,105.086,105.738,103.987,102.679,103.896,105.372,107.662,107.927,105.241,105.682,107.235,104.605,110.071,107.453,106.210
 "33999","New Hampshire (Nonmetropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",102.198,104.614,102.101,99.538,101.004,102.988,98.822,101.403,100.512,101.806,100.442,100.847,101.738,98.642,103.591,101.842,100.512
 "34998","New Jersey (Metropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",107.565,110.969,108.796,109.221,109.274,108.830,109.032,108.973,109.059,109.298,111.019,111.188,110.722,109.157,108.759,108.941,108.805
 "34999","New Jersey (Nonmetropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "35998","New Mexico (Metropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",96.407,98.175,96.748,99.317,98.934,97.529,98.038,96.422,96.002,97.461,93.359,94.658,93.328,91.334,92.491,92.764,94.826
 "35999","New Mexico (Nonmetropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",92.015,90.845,89.057,91.662,90.949,91.118,89.622,92.909,90.492,91.571,87.484,88.931,88.364,85.658,87.181,86.577,85.898
 "36998","New York (Metropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",112.456,112.049,110.824,111.948,110.672,110.701,109.926,110.560,111.080,110.941,110.571,110.564,111.309,110.754,108.705,108.910,109.023
 "36999","New York (Nonmetropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",95.265,96.185,94.965,95.519,95.056,95.842,93.349,95.133,95.255,95.424,93.573,92.122,93.107,92.154,90.615,91.897,91.613
 "37998","North Carolina (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",94.365,93.181,94.712,95.359,95.202,95.273,95.633,95.264,95.838,95.073,94.186,93.096,92.686,95.091,95.398,95.756,95.650
 "37999","North Carolina (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",85.185,84.117,86.315,86.959,87.182,87.786,86.895,87.018,85.855,85.014,87.560,86.828,85.729,87.908,87.969,88.217,88.410
 "38998","North Dakota (Metropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",91.936,92.275,91.849,91.971,94.228,94.918,94.154,93.415,94.292,91.392,92.420,94.560,92.651,92.201,89.329,88.977,90.054
 "38999","North Dakota (Nonmetropolitan Portion)",4,PARPP,1,"...","RPPs: All items ","Index",79.156,82.853,85.707,86.627,88.968,88.780,90.215,87.916,87.993,84.773,89.221,91.167,90.580,89.074,87.755,86.979,87.273
 "39998","Ohio (Metropolitan Portion)",3,PARPP,1,"...","RPPs: All items ","Index",94.490,95.085,94.104,93.325,93.982,94.350,94.057,93.292,93.563,93.272,93.743,94.000,92.737,93.048,92.359,92.742,93.612
 "39999","Ohio (Nonmetropolitan Portion)",3,PARPP,1,"...","RPPs: All items ","Index",83.123,85.803,88.072,86.730,88.192,87.819,87.740,86.819,86.127,85.157,88.976,89.552,87.715,87.826,86.911,87.368,88.312
 "40998","Oklahoma (Metropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",92.361,91.452,93.388,93.721,94.165,94.215,94.524,94.050,94.465,93.866,91.308,91.221,91.725,91.757,90.605,90.534,89.590
 "40999","Oklahoma (Nonmetropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",83.912,82.465,85.006,85.380,85.226,86.005,86.117,85.637,84.984,84.287,85.823,84.906,84.848,85.302,84.549,84.120,83.576
 "41998","Oregon (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",98.141,101.314,100.312,100.682,102.415,101.252,100.652,101.933,100.362,102.323,105.489,104.638,104.199,103.970,107.601,105.657,104.314
 "41999","Oregon (Nonmetropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",95.731,94.340,94.520,94.590,93.601,93.758,94.148,95.838,94.510,95.931,99.114,98.454,97.031,97.583,100.370,99.271,97.165
 "42998","Pennsylvania (Metropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",99.960,100.454,99.940,99.422,98.950,98.552,97.975,98.867,98.546,99.956,99.049,98.889,98.631,96.878,97.158,98.348,98.499
 "42999","Pennsylvania (Nonmetropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",93.459,92.815,91.986,91.828,91.496,92.825,91.777,92.971,92.040,92.733,91.455,91.270,90.743,90.415,89.408,90.179,90.331
 "44998","Rhode Island (Metropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",103.603,103.935,101.802,101.111,99.842,101.446,100.260,102.014,101.590,102.403,102.033,102.390,101.771,102.190,104.453,102.065,102.280
 "44999","Rhode Island (Nonmetropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "45998","South Carolina (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",93.092,92.423,93.820,94.532,94.748,94.318,94.362,94.778,95.018,94.118,93.082,92.628,91.789,94.594,94.348,94.546,94.811
 "45999","South Carolina (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",85.636,83.314,86.073,85.711,85.328,86.978,86.161,84.051,84.882,84.460,86.588,83.660,84.417,86.704,86.249,85.810,86.182
