Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
332,Andre Drummond,32,PHI,C,58,24,19.4,2.5,5.3,.471,0.5,1.4,.361,2.0,3.8,.511,.520,0.8,1.3,.636,3.1,5.2,8.3,1.2,0.6,0.8,1.0,2.0,6.3,,drumman01
333,Drake Powell,20,BRK,SG,59,21,20.4,2.2,5.3,.416,0.8,2.8,.297,1.4,2.5,.547,.494,1.1,1.2,.913,0.4,1.4,1.7,1.5,0.5,0.2,0.9,1.4,6.3,,poweldr01
334,Gradey Dick,22,TOR,SG,71,1,14.7,2.2,5.3,.417,0.8,2.6,.297,1.4,2.7,.534,.491,1.0,1.2,.871,0.6,1.5,2.1,0.7,0.6,0.1,0.6,1.4,6.2,,dickgr01
335,Ryan Nembhard,22,DAL,PG,56,24,18.7,2.5,6.2,.409,0.8,2.3,.365,1.7,3.9,.434,.475,0.4,0.5,.769,0.2,1.8,2.0,4.9,0.4,0.0,1.4,1.3,6.2,,nembhry01
336,Tidjane Salaün,20,CHO,PF,36,0,15.9,2.2,4.4,.506,1.0,2.3,.434,1.2,2.1,.587,.620,0.7,1.1,.650,0.7,3.4,4.1,0.8,0.4,0.2,0.7,1.5,6.2,,salauti01
337,Justin Edwards,22,PHI,SF,59,12,15.4,2.3,5.0,.452,1.1,2.8,.369,1.2,2.1,.563,.558,0.6,0.7,.846,0.4,1.1,1.5,1.3,0.8,0.2,0.6,1.5,6.1,,edwarju01
338,Kyle Anderson,32,3TM,SF,39,3,19.5,2.4,4.5,.525,0.1,0.3,.400,2.3,4.3,.533,.537,1.1,1.6,.705,0.9,2.5,3.4,2.8,1.0,0.6,1.0,2.3,6.0,,anderky01
338,Kyle Anderson,32,UTA,SF,20,0,20.1,2.9,5.5,.523,0.2,0.3,.600,2.7,5.2,.519,.537,1.3,1.9,.658,1.0,2.4,3.3,3.1,1.2,0.5,0.9,2.3,7.1,,anderky01
338,Kyle Anderson,32,MEM,SF,4,3,22.3,3.8,4.8,.789,0.3,0.3,1.000,3.5,4.5,.778,.816,1.5,2.0,.750,0.8,2.8,3.5,0.8,1.5,1.0,1.8,3.0,9.3,,anderky01
338,Kyle Anderson,32,MIN,SF,15,0,18.1,1.4,3.3,.429,0.0,0.3,.000,1.4,3.0,.467,.429,0.8,1.0,.800,0.9,2.6,3.5,2.9,0.7,0.6,0.9,2.1,3.6,,anderky01
339,Thomas Bryant,28,CLE,C,59,0,12.0,2.2,4.4,.500,0.8,2.2,.354,1.4,2.2,.641,.587,0.9,1.1,.803,1.0,2.3,3.3,0.5,0.3,0.4,0.5,1.2,6.0,,bryanth01
340,Tyson Etienne,26,BRK,PG,19,0,11.7,1.8,4.3,.420,1.6,3.6,.441,0.2,0.7,.308,.605,0.8,0.9,.889,0.1,0.5,0.6,1.2,0.4,0.0,0.5,1.6,6.0,,etienty01
341,Kasparas Jakučionis,19,MIA,PG,48,11,17.6,1.9,4.5,.423,1.2,2.9,.418,0.7,1.5,.432,.560,1.0,1.1,.907,0.8,1.8,2.6,2.4,0.6,0.1,0.9,1.9,6.0,,jakucka01
342,Tre Scott,29,BRK,PF,1,0,8.0,2.0,3.0,.667,1.0,1.0,1.000,1.0,2.0,.500,.833,1.0,1.0,1.000,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,6.0,,scotttr01
343,Nick Richards,28,2TM,C,48,6,14.6,2.1,4.2,.512,0.1,0.4,.278,2.0,3.8,.536,.525,1.4,2.1,.644,1.6,3.5,5.1,0.3,0.2,0.7,1.2,1.8,5.8,,richani01
343,Nick Richards,28,PHO,C,28,2,9.1,1.3,2.5,.493,0.0,0.0,,1.3,2.5,.493,.493,0.7,1.0,.679,1.3,2.0,3.3,0.3,0.1,0.5,0.9,1.4,3.2,,richani01
343,Nick Richards,28,CHI,C,20,4,22.4,3.4,6.5,.523,0.3,0.9,.278,3.2,5.6,.563,.542,2.3,3.7,.630,2.1,5.5,7.6,0.4,0.3,0.9,1.7,2.5,9.4,,richani01
344,Steven Adams,32,HOU,C,32,11,22.8,2.2,4.3,.504,0.0,0.0,,2.2,4.3,.504,.504,1.5,2.5,.580,4.5,4.1,8.6,1.5,0.7,0.6,1.1,1.7,5.8,,adamsst01
345,Ryan Dunn,23,PHO,SF,66,14,19.3,2.4,5.2,.452,0.8,2.4,.335,1.5,2.8,.554,.530,0.3,0.6,.476,1.5,2.7,4.2,1.4,0.9,0.4,0.8,2.0,5.8,,dunnry01
346,Kris Murray,25,POR,SF,53,15,23.6,2.3,5.0,.457,0.6,2.2,.265,1.7,2.8,.608,.515,0.7,1.0,.706,1.6,2.0,3.7,1.4,0.9,0.4,0.8,1.6,5.8,,murrakr01
347,Jalen Slawson,26,IND,SF,8,3,21.5,1.9,5.4,.349,1.0,3.0,.333,0.9,2.4,.368,.442,1.0,1.1,.889,0.5,3.9,4.4,2.8,1.4,1.4,0.9,2.3,5.8,,slawsja01
348,Nick Smith Jr.,21,LAL,SG,25,1,12.7,2.2,5.3,.421,1.1,2.8,.391,1.2,2.6,.453,.523,0.3,0.4,.636,0.1,0.7,0.8,1.1,0.4,0.1,0.8,1.0,5.8,,smithni01
349,Dean Wade,29,CLE,PF,57,36,22.4,2.1,4.8,.432,1.2,3.4,.354,0.9,1.4,.617,.557,0.5,0.7,.711,0.9,3.3,4.2,1.5,0.8,0.4,0.3,1.6,5.8,,wadede01
